Welcome to DFS
Size: 4 : 0.0001609182357788086
Size: 5 : 0.0006995868682861329
Size: 6 : 0.001269073486328125
Size: 7 : 0.0017580556869506835
Size: 8 : 0.0016928982734680175
Size: 9 : 0.003731110095977783
Size: 10 : 0.005226616859436035
Size: 11 : 0.004227118492126465
Size: 12 : 0.009637789726257324
Size: 13 : 0.02632197618484497
Size: 14 : 0.12815439701080322
Size: 15 : 0.2343933129310608
Size: 16 : 0.4378528642654419
Size: 17 : 0.49462744474411013
Size: 18 : 0.5825985336303711
Size: 19 : 0.9891670775413514
Size: 20 : 0.9394499683380126
