Welcome to Greedy
Size: 4 : 0.0013460516929626465
Size: 5 : 0.0027971863746643066
Size: 6 : 0.004264702796936035
Size: 7 : 0.005679285526275635
Size: 8 : 0.00946399211883545
Size: 9 : 0.014941916465759278
Size: 10 : 0.01901954412460327
Size: 11 : 0.028078815937042235
Size: 12 : 0.03975771188735962
Size: 13 : 0.053376626968383786
Size: 14 : 0.07470666885375976
Size: 15 : 0.12568434000015258
Size: 16 : 0.13423579931259155
Size: 17 : 0.1669769334793091
Size: 18 : 0.20896735906600952
Size: 19 : 0.17567315101623535
Size: 20 : 0.10139958381652832
Size: 21 : 1.2055198001861571
Size: 22 : 0.5462160730361938
Size: 23 : 0.7693249964714051
Size: 24 : 1.553399097919464
Size: 25 : 0.8273705673217774
