Welcome to Greedy_wrap
Size: 4 : 0.002159888744354248
Size: 5 : 0.0033843278884887694
Size: 6 : 0.004069955348968506
Size: 7 : 0.007625997066497803
Size: 8 : 0.010198197364807128
Size: 9 : 0.014300603866577149
Size: 10 : 0.023418362140655517
Size: 11 : 0.021603496074676515
Size: 12 : 0.04239072561264038
Size: 13 : 0.08654677391052246
Size: 14 : 0.06107040643692017
Size: 15 : 0.07024036169052124
Size: 16 : 0.10248760938644409
Size: 17 : 0.2011355757713318
Size: 18 : 0.1634056830406189
Size: 19 : 0.18260119199752808
Size: 20 : 0.33006205797195437
